date,close,return
,8766.T,
2010-01-04,504.7200927734375,
2010-01-05,514.437744140625,0.01925354569062021
2010-01-06,527.3284301757812,0.025057815414944562
2010-01-07,539.6241455078125,0.023316996824791936
2010-01-08,537.83935546875,-0.003307468826071358
2010-01-12,536.6494750976562,-0.0022123341458654133
2010-01-13,530.3033447265625,-0.011825466464751355
2010-01-14,534.4678955078125,0.007853148245552388
2010-01-15,534.4678955078125,0.0
2010-01-18,526.5352783203125,-0.01484208360160344
2010-01-19,515.6278076171875,-0.020715555352569415
2010-01-20,512.6529541015625,-0.00576938146406869
2010-01-21,525.7418823242188,0.02553175226619908
2010-01-22,518.6026000976562,-0.013579443576001382
2010-01-25,509.2814636230469,-0.01797356294174801
2010-01-26,497.7790832519531,-0.022585507607650546
2010-01-27,495.5975036621094,-0.004382626074988183
2010-01-28,497.7790832519531,0.0044019180357517396
2010-01-29,483.8966369628906,-0.027888769850210493
2010-02-01,491.8294677734375,0.016393647330008587
2010-02-02,496.98577880859375,0.010483940823024396
2010-02-03,497.38232421875,0.0007979009200360654
2010-02-04,495.5975036621094,-0.00358842779434132
2010-02-05,480.12872314453125,-0.031212385864083148
2010-02-08,474.97235107421875,-0.010739561750318982
2010-02-09,473.58416748046875,-0.002922661899393608
2010-02-10,471.6010437011719,-0.004187479049072462
2010-02-12,476.75726318359375,0.010933435265442437
2010-02-15,478.1455993652344,0.002912039918112397
2010-02-16,481.51690673828125,0.007050796614090915
2010-02-17,492.8210754394531,0.023476161569786935
2010-02-18,494.8043212890625,0.00402427158343599
2010-02-19,484.690185546875,-0.020440677874110302
2010-02-22,499.16729736328125,0.029868795053218822
2010-02-23,500.5556640625,0.0027813654992072667
2010-02-24,500.75384521484375,0.0003959223050944427
2010-02-25,499.36541748046875,-0.002772675132987401
2010-02-26,496.787353515625,-0.005162680222934313
2010-03-01,501.7453918457031,0.009980202384363146
2010-03-02,497.58074951171875,-0.008300310080904705
2010-03-03,493.01947021484375,-0.009166912709848707
2010-03-04,490.2430114746094,-0.005631539742283365
2010-03-05,496.1925048828125,0.012135804629437974
2010-03-08,503.3320007324219,0.014388560446505494
2010-03-09,499.5639343261719,-0.007486244468396408
2010-03-10,499.7622985839844,0.00039707481702033753
2010-03-11,502.34033203125,0.005158519269200967
2010-03-12,506.3067321777344,0.007895842506704387
2010-03-15,502.73699951171875,-0.007050533676811743
2010-03-16,501.150390625,-0.0031559421491947903
2010-03-17,507.2984313964844,0.012267855890158996
2010-03-18,508.4881591796875,0.0023452226728319925
2010-03-19,508.4881591796875,0.0
2010-03-23,506.7035217285156,-0.0035096932326820207
2010-03-24,508.6865234375,0.003913534490977533
2010-03-25,503.7287292480469,-0.009746266042100604
2010-03-26,515.4292602539062,0.023227841348905542
2010-03-29,521.6393432617188,0.012048371108682066
2010-03-30,522.440673828125,0.0015361773929774003
2010-03-31,527.4485473632812,0.00958553532683748
2010-04-01,524.6442260742188,-0.0053167674896088535
2010-04-02,537.2645263671875,0.02405496842575272
2010-04-05,543.8751220703125,0.012304173044559219
2010-04-06,547.4808349609375,0.006629670570147628
2010-04-07,562.3048706054688,0.027076812004915185
2010-04-08,565.7103271484375,0.006056245856988385
2010-04-09,560.3015747070312,-0.009560992935501167
2010-04-12,568.715087890625,0.015016044150854002
2010-04-13,563.9073486328125,-0.008453686846333741
2010-04-14,569.9170532226562,0.010657255317587655
2010-04-15,574.9249877929688,0.008787128832160152
2010-04-16,577.729736328125,0.004878459963834958
2010-04-19,561.9041137695312,-0.027392778255065475
2010-04-20,562.90576171875,0.001782595864086467
2010-04-21,573.9235229492188,0.01957301200262651
2010-04-22,565.7103271484375,-0.01431061016383528
2010-04-23,571.1188354492188,0.009560561370770326
2010-04-26,574.524658203125,0.0059634222205739995
2010-04-27,566.9122314453125,-0.013249956549508224
2010-04-28,555.4938354492188,-0.02014138232118079
2010-04-30,563.306396484375,0.014064172339263381
2010-05-06,545.2774047851562,-0.032005657687785294
2010-05-07,531.8560180664062,-0.024613869199363148
2010-05-10,540.0690307617188,0.015442173100102208
2010-05-11,523.0416259765625,-0.031528200684161845
2010-05-12,521.8395385742188,-0.0022982633554248233
2010-05-13,534.860595703125,0.024952224134803247
2010-05-14,527.6490478515625,-0.013483041954291397
2010-05-17,519.435791015625,-0.015565756954133758
2010-05-18,515.629638671875,-0.007327474174061099
2010-05-19,507.4164123535156,-0.015928538048189944
2010-05-20,519.435791015625,0.023687406180578074
2010-05-21,507.8171691894531,-0.02236777293196257
2010-05-24,499.60394287109375,-0.016173589269281363
2010-05-25,492.19195556640625,-0.0148357261996227
2010-05-26,492.19195556640625,0.0
2010-05-27,494.59576416015625,0.004883884359677904
2010-05-28,507.6168212890625,0.026326665273845418
2010-05-31,510.6216125488281,0.005919408368176393
2010-06-01,514.2276611328125,0.007062075899968878
2010-06-02,506.0142822265625,-0.01597226195136303
