date,market_close,market_return
2010-01-05,10681.830078125,0.002537829367201594
2010-01-06,10731.4501953125,0.004645282393053174
2010-01-07,10681.66015625,-0.004639637528602414
2010-01-08,10798.3203125,0.010921537901740885
2010-01-12,10879.1396484375,0.007484435875081852
2010-01-13,10735.0302734375,-0.01324639444449982
2010-01-14,10907.6796875,0.016082806444402742
2010-01-15,10982.099609375,0.006822708770984898
2010-01-18,10855.080078125,-0.011566051644766429
2010-01-19,10764.900390625,-0.00830760223332938
2010-01-20,10737.51953125,-0.002543531141156241
2010-01-21,10868.41015625,0.012190024392417786
2010-01-22,10590.5498046875,-0.025565869116810358
2010-01-25,10512.6904296875,-0.007351778371840423
2010-01-26,10325.2802734375,-0.01782704032839777
2010-01-27,10252.080078125,-0.007089414851121578
2010-01-28,10414.2900390625,0.015822151183115363
2010-01-29,10198.0400390625,-0.02076473760466413
2010-02-01,10205.01953125,0.0006843954486122072
2010-02-02,10371.08984375,0.016273394871166635
2010-02-03,10404.330078125,0.0032050859529513254
2010-02-04,10355.98046875,-0.004647066078445006
2010-02-05,10057.08984375,-0.028861644332173753
2010-02-08,9951.8203125,-0.01046719606620794
2010-02-09,9932.900390625,-0.00190115187783646
2010-02-10,9963.990234375,0.0031299864618941076
2010-02-12,10092.1904296875,0.01286635095949995
2010-02-15,10013.2998046875,-0.00781699726631524
2010-02-16,10034.25,0.0020922368970408556
2010-02-17,10306.830078125,0.02716496779779254
2010-02-18,10335.6904296875,0.0028001190806232756
2010-02-19,10123.580078125,-0.020522126993398504
2010-02-22,10400.4697265625,0.02735096144849014
2010-02-23,10352.099609375,-0.004650762750067372
2010-02-24,10198.830078125,-0.014805646876812961
2010-02-25,10101.9599609375,-0.00949815973454371
2010-02-26,10126.0302734375,0.0023827368741389243
2010-03-01,10172.0595703125,0.004545640851552957
2010-03-02,10221.83984375,0.004893824411212222
2010-03-03,10253.1396484375,0.0030620519560025095
2010-03-04,10145.7197265625,-0.010476783264272593
2010-03-05,10368.9599609375,0.02200339063088208
2010-03-08,10585.919921875,0.020923984831153986
2010-03-09,10567.650390625,-0.0017258331240771474
2010-03-10,10563.919921875,-0.0003530083426406261
2010-03-11,10664.9501953125,0.009563710647625623
2010-03-12,10751.259765625,0.008092824507557106
2010-03-15,10751.98046875,6.703429558130303e-05
2010-03-16,10721.7099609375,-0.0028153425222896544
2010-03-17,10846.98046875,0.011683817998145773
2010-03-18,10744.0302734375,-0.009491138626929185
2010-03-19,10824.7197265625,0.007510166210578317
2010-03-23,10774.150390625,-0.004671653143444421
2010-03-24,10815.0302734375,0.003794255818822645
2010-03-25,10828.849609375,0.0012777898524649611
2010-03-26,10996.3701171875,0.015469834179566933
2010-03-29,10986.4697265625,-0.0009003326115338828
2010-03-30,11097.1396484375,0.010073292388675936
2010-03-31,11089.9404296875,-0.0006487454405436077
2010-04-01,11244.400390625,0.013927934231640737
2010-04-02,11286.08984375,0.0037075745861698817
2010-04-05,11339.2998046875,0.004714649774560042
2010-04-06,11282.3203125,-0.005024956846448769
2010-04-07,11292.830078125,0.0009315251946317993
2010-04-08,11168.2001953125,-0.011036195705620089
2010-04-09,11204.33984375,0.0032359420323311294
2010-04-12,11251.900390625,0.004244832586145719
2010-04-13,11161.23046875,-0.008058187392997684
2010-04-14,11204.900390625,0.003912644040213076
2010-04-15,11273.7900390625,0.006148171428202787
2010-04-16,11102.1796875,-0.015222063828392085
2010-04-19,10908.76953125,-0.017420917485938547
2010-04-20,10900.6796875,-0.0007415908574129881
2010-04-21,11090.0498046875,0.017372321966735216
2010-04-22,10949.08984375,-0.012710489440536099
2010-04-23,10914.4599609375,-0.003162809266038402
2010-04-26,11165.7900390625,0.023027257328763984
2010-04-27,11212.66015625,0.004197653459677264
2010-04-28,10924.7900390625,-0.02567366826212414
2010-04-30,11057.400390625,0.012138480564692022
2010-05-06,10695.6904296875,-0.03271202526447137
2010-05-07,10364.58984375,-0.030956448124048186
2010-05-10,10530.7001953125,0.01602671731990113
2010-05-11,10411.099609375,-0.011357325127415274
2010-05-12,10394.0302734375,-0.0016395324776384834
2010-05-13,10620.5498046875,0.021793233740032836
2010-05-14,10462.509765625,-0.014880589232089236
2010-05-17,10235.759765625,-0.021672620153244337
2010-05-18,10242.6396484375,0.0006721418800395007
2010-05-19,10186.83984375,-0.005447795353809237
2010-05-20,10030.3095703125,-0.015365930537676764
2010-05-21,9784.5400390625,-0.024502686534962348
2010-05-24,9758.400390625,-0.002671525522216056
2010-05-25,9459.8896484375,-0.03059013057860205
2010-05-26,9522.66015625,0.00663543763672414
2010-05-27,9639.7197265625,0.012292738414661386
2010-05-28,9762.98046875,0.012786755806587502
2010-05-31,9768.7001953125,0.0005858586505225194
2010-06-01,9711.830078125,-0.005821666757138133
2010-06-02,9603.240234375,-0.0111811927182075
2010-06-03,9914.1904296875,0.032379716400246616
2010-06-04,9901.1904296875,-0.0013112517953127734
2010-06-07,9520.7998046875,-0.03841867578462543
2010-06-08,9537.9404296875,0.0018003345676442795
2010-06-09,9439.1298828125,-0.010359736213852333
2010-06-10,9542.650390625,0.010967166369963532
2010-06-11,9705.25,0.017039250388418692
2010-06-14,9879.849609375,0.017990222753148988
2010-06-15,9887.8896484375,0.0008137815230375711
2010-06-16,10067.150390625,0.018129322692818084
2010-06-17,9999.400390625,-0.006729809069217052
2010-06-18,9995.01953125,-0.00043811220711864607
2010-06-21,10238.009765625,0.024311131520581508
2010-06-22,10112.8896484375,-0.012221136729875126
2010-06-23,9923.7001953125,-0.01870775413377823
2010-06-24,9928.33984375,0.0004675321045763958
2010-06-25,9737.48046875,-0.019223694797287583
2010-06-28,9693.9404296875,-0.004471386535996769
2010-06-29,9570.669921875,-0.012716243586043396
2010-06-30,9382.6396484375,-0.019646511160909652
2010-07-01,9191.599609375,-0.020361012062774297
2010-07-02,9203.7099609375,0.00131754559349484
2010-07-05,9266.7802734375,0.006852705351177324
2010-07-06,9338.0400390625,0.007689808490362049
