model,accuracy,precision_macro,recall_macro,f1_macro
LSTM,0.3652694610778443,0.36406694341535006,0.3632833877199559,0.36222640607255996
Gradient Boosting,0.3559822747415066,0.3571559827714465,0.3516108952581016,0.3407656416223143
Random Forest,0.3382570162481536,0.3316450142965166,0.3346522750697758,0.3314320621851877
KNN,0.327917282127031,0.3244330985994135,0.3258459784276144,0.3199732176905135
SVM (RBF),0.311669128508124,0.3094478465284458,0.309942319642746,0.3094943983486802
Logistic Regression,0.3028064992614475,0.2958927251610179,0.3006575422846315,0.2941523598826186
Majority Baseline,0.3353028064992615,0.1117676021664205,0.3333333333333333,0.1674041297935103
