Price,Close,High,Low,Open,Volume
Ticker,8766.T,8766.T,8766.T,8766.T,8766.T
Date,,,,,
2010-01-04,504.7200927734375,509.87638099838597,502.141966817547,503.92683162850983,4844700
2010-01-05,514.437744140625,521.3788612661815,511.06632053098605,511.6612755025006,8874300
2010-01-06,527.3284301757812,527.3284301757812,514.4377628658664,514.4377628658664,7755300
2010-01-07,539.6241455078125,544.58209137391,529.311605033589,531.0964699029644,12971400
2010-01-08,537.83935546875,539.624220586456,531.8898050763966,539.2275717892412,10328700
2010-01-12,536.6494750976562,537.839385241997,526.5352388707603,527.9234552680991,7736100
2010-01-13,530.3033447265625,537.8394553947468,529.5100832979255,534.6663733670179,5550900
2010-01-14,534.4678955078125,536.8477155046015,532.2864180528701,534.071283050462,6061500
2010-01-15,534.4678955078125,535.4594992775317,529.9065980560811,535.4594992775317,6933600
2010-01-18,526.5352783203125,534.269694838012,523.5605027365818,531.2949192542814,6037800
2010-01-19,515.6278076171875,525.3453962743813,512.6530318738444,524.35379225554,5901000
2010-01-20,512.6529541015625,517.8092070656714,511.4630439847412,517.6109008172596,4690800
2010-01-21,525.7418823242188,527.1300984701265,512.454530576877,512.454530576877,9161700
2010-01-22,518.6026000976562,522.1723311048756,510.0748851493999,519.3958615504222,6554400
2010-01-25,509.2814636230469,513.0494997308211,505.3150849795365,508.68650864217886,5180400
2010-01-26,497.7790832519531,508.6865806746992,496.3908305578975,505.5134990984691,6184500
2010-01-27,495.5975036621094,499.36553980485,493.6143324785359,495.7958098865155,6461100
2010-01-28,497.7790832519531,501.94376870776944,493.0194427310203,496.3908305578975,6251100
2010-01-29,483.8966369628906,496.1923835927591,483.8966369628907,495.0024737999707,6591600
2010-02-01,491.8294677734375,496.78741389151753,480.9219354752226,485.48326914428543,8040600
2010-02-02,496.98577880859375,498.77064397947044,489.84631812508724,495.795868694676,5015700
2010-02-03,497.38232421875,500.555405091833,494.20924334566706,497.18401801204715,3911100
2010-02-04,495.5975036621094,497.7790173832595,484.0950526963105,496.58910741048135,7124100
2010-02-05,480.12872314453125,489.251355098235,475.9640378136617,488.25978756157275,7547400
2010-02-08,474.97235107421875,477.9471257914125,468.2295404863021,475.17069359747694,7733700
2010-02-09,473.58416748046875,474.9723836727132,467.03966265347736,470.01443757483713,8395800
2010-02-10,471.6010437011719,480.72367560580153,471.0060886571053,473.78252132063335,7385400
2010-02-12,476.75726318359375,478.5421281909115,473.7824881713975,473.7824881713975,5658300
2010-02-15,478.1455993652344,490.8379628662726,476.1623914681005,486.078322014236,9050700
2010-02-16,481.51690673828125,487.26815057514204,480.5253392690504,481.12029427585765,5302800
2010-02-17,492.8210754394531,495.3992381343803,484.69004749962477,486.67321884611425,7083900
2010-02-18,494.8043212890625,495.3992763702465,489.05307673322534,492.02785213914524,5986200
